id,web_name,first name,last name,team_code,team_name,full_name
77,Dennis,Will,Dennis,3,AFC Bournemouth,Will Dennis
404,Stephens,Jack,Stephens,3,AFC Bournemouth,Jack Stephens
505,Rothwell,Joe,Rothwell,3,AFC Bournemouth,Joe Rothwell
535,Tavernier,Marcus,Tavernier,3,AFC Bournemouth,Marcus Tavernier
539,Hill,James,Hill,3,AFC Bournemouth,James Hill
574,Neto,Norberto,Murara Neto,3,AFC Bournemouth,Norberto Murara Neto
576,Senesi,Marcos,Senesi,3,AFC Bournemouth,Marcos Senesi
597,Saydee,Christian,Saydee,3,AFC Bournemouth,Christian Saydee
598,Bevan,Owen,Bevan,3,AFC Bournemouth,Owen Bevan
649,Plain,Cameron,Plain,3,AFC Bournemouth,Cameron Plain
78,Jansson,Pontus,Jansson,4,Brentford,Pontus Jansson
79,Nørgaard,Christian,Nørgaard,4,Brentford,Christian Nørgaard
80,Toney,Ivan,Toney,4,Brentford,Ivan Toney
81,Raya,David,Raya Martin,4,Brentford,David Raya Martin
82,Canós,Sergi,Canós Tenés,4,Brentford,Sergi Canós Tenés
83,Dasilva,Josh,Dasilva,4,Brentford,Josh Dasilva
84,Ajer,Kristoffer,Ajer,4,Brentford,Kristoffer Ajer
85,Henry,Rico,Henry,4,Brentford,Rico Henry
86,Janelt,Vitaly,Janelt,4,Brentford,Vitaly Janelt
87,Ghoddos,Saman,Ghoddos,4,Brentford,Saman Ghoddos
88,Jensen,Mathias,Jensen,4,Brentford,Mathias Jensen
89,Wissa,Yoane,Wissa,4,Brentford,Yoane Wissa
90,Roerslev,Mads,Roerslev Rasmussen,4,Brentford,Mads Roerslev Rasmussen
91,Bech,Mads,Bech Sørensen,4,Brentford,Mads Bech Sørensen
92,Pinnock,Ethan,Pinnock,4,Brentford,Ethan Pinnock
93,Onyeka,Frank,Onyeka,4,Brentford,Frank Onyeka
94,Baptiste,Shandon,Baptiste,4,Brentford,Shandon Baptiste
95,Mbeumo,Bryan,Mbeumo,4,Brentford,Bryan Mbeumo
96,Goode,Charlie,Goode,4,Brentford,Charlie Goode
97,Forss,Marcus,Forss,4,Brentford,Marcus Forss
98,Thompson,Dominic,Thompson,4,Brentford,Dominic Thompson
99,Bidstrup,Mads,Bidstrup,4,Brentford,Mads Bidstrup
100,Balcombe,Ellery,Balcombe,4,Brentford,Ellery Balcombe
510,Hickey,Aaron,Hickey,4,Brentford,Aaron Hickey
515,Lewis-Potter,Keane,Lewis-Potter,4,Brentford,Keane Lewis-Potter
517,Strakosha,Thomas,Strakosha,4,Brentford,Thomas Strakosha
526,Mee,Ben,Mee,4,Brentford,Ben Mee
540,Stevens,Fin,Stevens,4,Brentford,Fin Stevens
541,Dervişoğlu,Halil,Dervişoğlu,4,Brentford,Halil Dervişoğlu
580,Damsgaard,Mikkel,Damsgaard,4,Brentford,Mikkel Damsgaard
595,Zanka,Mathias,Jorgensen,4,Brentford,Mathias Jorgensen
632,Trevitt,Ryan,Trevitt,4,Brentford,Ryan Trevitt
633,Cox,Matthew,Cox,4,Brentford,Matthew Cox
646,Crama,Tristan,Crama,4,Brentford,Tristan Crama
650,Yarmolyuk,Yegor,Yarmolyuk,4,Brentford,Yegor Yarmolyuk
101,Lallana,Adam,Lallana,5,Brighton & Hove Albion,Adam Lallana
102,Steele,Jason,Steele,5,Brighton & Hove Albion,Jason Steele
103,Welbeck,Danny,Welbeck,5,Brighton & Hove Albion,Danny Welbeck
104,Groß,Pascal,Groß,5,Brighton & Hove Albion,Pascal Groß
106,Dunk,Lewis,Dunk,5,Brighton & Hove Albion,Lewis Dunk
107,March,Solly,March,5,Brighton & Hove Albion,Solly March
108,Webster,Adam,Webster,5,Brighton & Hove Albion,Adam Webster
109,Veltman,Joël,Veltman,5,Brighton & Hove Albion,Joël Veltman
111,Trossard,Leandro,Trossard,5,Brighton & Hove Albion,Leandro Trossard
113,Sánchez,Robert,Sánchez,5,Brighton & Hove Albion,Robert Sánchez
114,Lamptey,Tariq,Lamptey,5,Brighton & Hove Albion,Tariq Lamptey
115,Alzate,Steven,Alzate,5,Brighton & Hove Albion,Steven Alzate
116,Mac Allister,Alexis,Mac Allister,5,Brighton & Hove Albion,Alexis Mac Allister
117,Moder,Jakub,Moder,5,Brighton & Hove Albion,Jakub Moder
118,Mwepu,Enock,Mwepu,5,Brighton & Hove Albion,Enock Mwepu
119,Sarmiento,Jeremy,Sarmiento Morante,5,Brighton & Hove Albion,Jeremy Sarmiento Morante
120,Caicedo,Moisés,Caicedo Corozo,5,Brighton & Hove Albion,Moisés Caicedo Corozo
121,Richards,Taylor,Richards,5,Brighton & Hove Albion,Taylor Richards
122,Roberts,Haydon,Roberts,5,Brighton & Hove Albion,Haydon Roberts
123,Undav,Deniz,Undav,5,Brighton & Hove Albion,Deniz Undav
124,Mitoma,Kaoru,Mitoma,5,Brighton & Hove Albion,Kaoru Mitoma
125,Enciso,Julio,Enciso,5,Brighton & Hove Albion,Julio Enciso
126,Kozłowski,Kacper,Kozłowski,5,Brighton & Hove Albion,Kacper Kozłowski
149,Gilmour,Billy,Gilmour,5,Brighton & Hove Albion,Billy Gilmour
542,Scherpen,Kjell,Scherpen,5,Brighton & Hove Albion,Kjell Scherpen
543,Clarke,Matt,Clarke,5,Brighton & Hove Albion,Matt Clarke
544,Van Hecke,Jan Paul,van Hecke,5,Brighton & Hove Albion,Jan Paul van Hecke
559,Colwill,Levi,Colwill,5,Brighton & Hove Albion,Levi Colwill
586,Estupiñán,Pervis,Estupiñán,5,Brighton & Hove Albion,Pervis Estupiñán
596,Ferguson,Evan,Ferguson,5,Brighton & Hove Albion,Evan Ferguson
640,Turns,Ed,Turns,5,Brighton & Hove Albion,Ed Turns
651,Moran,Andrew,Moran,5,Brighton & Hove Albion,Andrew Moran
652,Furlong,James,Furlong,5,Brighton & Hove Albion,James Furlong
48,Chukwuemeka,Carney,Chukwuemeka,6,Chelsea,Carney Chukwuemeka
112,Cucurella,Marc,Cucurella Saseta,6,Chelsea,Marc Cucurella Saseta
127,Azpilicueta,César,Azpilicueta,6,Chelsea,César Azpilicueta
128,Thiago Silva,Thiago,Emiliano da Silva,6,Chelsea,Thiago Emiliano da Silva
129,Alonso,Marcos,Alonso,6,Chelsea,Marcos Alonso
130,Jorginho,Jorge Luiz,Frello Filho,6,Chelsea,Jorge Luiz Frello Filho
131,Barkley,Ross,Barkley,6,Chelsea,Ross Barkley
132,Kovacic,Mateo,Kovacic,6,Chelsea,Mateo Kovacic
133,Arrizabalaga,Kepa,Arrizabalaga,6,Chelsea,Kepa Arrizabalaga
134,Kanté,N'Golo,Kanté,6,Chelsea,N'Golo Kanté
135,Ziyech,Hakim,Ziyech,6,Chelsea,Hakim Ziyech
136,Loftus-Cheek,Ruben,Loftus-Cheek,6,Chelsea,Ruben Loftus-Cheek
137,Werner,Timo,Werner,6,Chelsea,Timo Werner
138,Kenedy,Robert Kenedy,Nunes do Nascimento,6,Chelsea,Robert Kenedy Nunes do Nascimento
139,Chilwell,Ben,Chilwell,6,Chelsea,Ben Chilwell
140,Pulisic,Christian,Pulisic,6,Chelsea,Christian Pulisic
141,Chalobah,Trevoh,Chalobah,6,Chelsea,Trevoh Chalobah
142,Mount,Mason,Mount,6,Chelsea,Mason Mount
143,Sarr,Malang,Sarr,6,Chelsea,Malang Sarr
144,Hudson-Odoi,Callum,Hudson-Odoi,6,Chelsea,Callum Hudson-Odoi
145,Havertz,Kai,Havertz,6,Chelsea,Kai Havertz
146,James,Reece,James,6,Chelsea,Reece James
147,Mendy,Edouard,Mendy,6,Chelsea,Edouard Mendy
148,Gallagher,Conor,Gallagher,6,Chelsea,Conor Gallagher
150,Broja,Armando,Broja,6,Chelsea,Armando Broja
151,Ampadu,Ethan,Ampadu,6,Chelsea,Ethan Ampadu
272,Fofana,Wesley,Fofana,6,Chelsea,Wesley Fofana
304,Sterling,Raheem,Sterling,6,Chelsea,Raheem Sterling
520,Koulibaly,Kalidou,Koulibaly,6,Chelsea,Kalidou Koulibaly
